,0,1
0,plschangeplan,"Changes to this project are submitted to the homeowner and approved by the homeowner after assessment and the impact to the cost, timeline or quality. "
1,thepmroisummary,"The roi is 33.333 with an investment of 15000 and a benefit of 5000 to begin September 02, 2024. The rate of return is 0.33.   If the project estimate to completion is growing, the roi will decrease.  EAC is now 15000.00"
2,plpscopecontingency,plpscopecontingency
3,plnteam,3
4,thepmbudgetcomplete,3
5,thepmheader,"                                     Project            Sponsor       Phase
0  Home Energy Audit and Energy Improvements                 V1      Design
1                   Janet (Project Manager)   Janet (Homeowner)  2024-03-26"
6,thepmphasename,Design
7,plsplanstatus,None
8,plnopenroles,0
9,plncadence,4
10,plspurpose,"The purpose of a home energy audit is to identify areas in a house where energy is being wasted, as well as potential safety issues related to heating equipment and ventilation. This assessment can help homeowners understand how much energy their homes use and where they can make improvements to increase efficiency, reduce utility bills, and improve comfort and indoor air quality.

During a home energy audit, a trained professional will typically perform a series of tests and inspections to evaluate various aspects of the home's energy performance. These may include:

* Checking for adequate insulation levels in walls, attics, and crawl spaces
* Examining windows and doors for air leaks and assessing their overall energy efficiency
* Inspecting HVAC (heating, ventilation, and cooling) systems for proper operation and maintenance
* Evaluating lighting and appliances for energy-efficient models and usage habits
* Assessing water heater efficiency and checking for any plumbing leaks or other water waste

Based on the results of the audit, the auditor may recommend specific energy improvement projects such as adding insulation, sealing air leaks, upgrading HVAC equipment, installing energy-efficient light bulbs, or implementing behavioral changes like turning off lights when not in use. Implementing these recommendations can lead to significant cost savings over time while also making the home more comfortable and reducing its environmental impact."
11,plnscoperange,5
12,plnactiveses,0
13,plswbs,"A Home Energy Audit and Energy Improvement Project typically consists of several tasks and activities to ensure a comprehensive evaluation of the home's energy efficiency, followed by targeted improvements to reduce energy consumption, save money, and enhance overall comfort. Although specific activities might vary depending on the situation, here are some common tasks involved in a typical Home Energy Audit and Energy Improvements project:

1. Initial Consultation: Schedule an appointment with the homeowner to discuss their expectations, concerns, and priorities regarding energy efficiency. Explain the process, timeline, and anticipated outcomes.

2. Data Collection: Collect information about the home, including age, size, location, type, and condition of windows, doors, insulation, HVAC system, appliances, and lighting. Use questionnaires, visual inspections, and diagnostic tools such as blower doors, infrared cameras, and combustion analyzers.

3. Preliminary Analysis: Based on collected data, analyze the home's energy performance, identify obvious issues, and estimate potential energy savings. Share preliminary findings with the homeowner and gather feedback.

4. Advanced Modeling: Create detailed simulations of the home's energy consumption patterns using sophisticated modeling software. Fine-tune input variables, incorporate historical weather data, and run sensitivity analyses to determine optimal solutions.

5. Recommendations Report: Compile findings into a concise yet informative report detailing suggested improvements, projected savings, available rebates, and financing options. Ensure the language is easily understood by laypeople and emphasize quick wins alongside longer-term projects.

6. Presentation: Present the final report to the homeowner, explaining the rationale behind recommendations and answering questions. Offer additional consultation services if needed.

7. Contractor Selection: Help the homeowner select qualified contractors familiar with the chosen energy efficiency measures. Verify licenses, insurance coverage, references, and warranties before hiring.

8. Construction Oversight: Monitor the progress of selected improvement projects, ensuring compliance with plans, codes, and best practices. Coordinate inspections, arrange access to utility meters, and review invoices for accuracy.

9. Post-Construction Evaluation: Confirm completed work meets expectations, addresses original concerns, and achieves stated goals. Validate actual energy savings against predictions using utility bill analysis and compare results with pre-construction baselines.

10. Continuous Support: Maintain open lines of communication with the homeowner after project completion, offering advice on maintaining newly installed systems, responding to emerging issues, and exploring future enhancement possibilities. Encourage participation in community events focused on energy efficiency education and awareness raising.

Remember, every home and family is unique; thus, no two Home Energy Audit and Energy Improvement Projects will look identical. However, following these general steps allows professionals to thoroughly assess the situation, propose meaningful actions, guide clients through the decision-making process, and ultimately realize tangible benefits arising from wise investments in energy efficiency measures."
14,pldcharterdate,2024-03-26
15,plpresourcecontingency,plpresourcecontingency
16,pldbenefitdate,2024-09-02
17,plscopechange,plscopechange
18,pllistincomecurrency,2
19,plspname,Janet (Homeowner)
20,plnhoursused,0
21,plnspend,499
22,plpstagesitelink,plpstagesitelink
23,plpnumber,V1
24,plmlistroles,"['Project Manager', 'Financial Manager', 'Building Architect', 'General Manager']"
25,plpactivitylink,plpactivitylink
26,plsinspectstatus,None
27,plmlistscopelist,"['Accessibility', 'Performance', 'Maintainability']"
28,plpdocumentslink,plpdocumentslink
29,plddesigndate,2024-04-22
30,plpstanduplink,plpstanduplink
31,plmlistscopeoption,['None']
32,pldinspectdate,2024-06-17
33,plnincreaseincome,0
34,plpbudgetcontingency,"The homeowner has a fixed budget, and will make decisions about scope to keep the budget in control.  "
35,plnresourcerange,5
36,plscostgoal,"The cost of the project includes:
-  home energy audit report ($600)
-  appliances replace or upgrade
-  systems replace or upgrade (eg. hvac)
-  materials replace or upgrade (eg. insulation, windows, weatherstripping)

The cost of the project can be offset by loans, grants and tax credits.  These will be supplied by the auditor."
37,plnactivesesuser,0
38,plntestscritical,0
39,plnestimatecomplete,0
40,thepmtimecomplete,32
41,pldenddate,2024-07-08
42,plplivesitelink,plplivesitelink
