Project Title,Type,Purpose,Date,File
Wordpress Relauanch,Technology,Update a wordpress website for the purpose of improving sales,December 2023,files/wprelaunch.csv
Annual Tax Return,Operations,File an annual tax return in Canada,December 2023,
Probate a Will,Process,Probate a will in Ontario,December 2023,files/probatewill.csv
Migrate App On-Prem to Cloud,,,
Major release CMS,,,
Process Implementation using Process Street,,,
Process Implementation using Kissflow,,,
Process Automation using Power Automate,,,
Marketing Plan Google Adwords,,,
Email Marketing Plan,,,
Process Review and Improvement Audit,,,
Event Planning 2 day offsite team conference,,,
Event Planning Town Hall Meeting,,,
Develop LMS course or learning module,,,
Start a small business,,,
Incorporate a business,,,
Recruiting Staffing Plan,,,
Home Energy Audit and Energy Improvements"),,,
New Kitchen Remodel,Construction,Update kitchen,
Write a Book,,,
