ac,Duration,pr,Type,Start,Finish,Completion Pct,Assign,Description
a,3,,start,01/01/22,03/01/22,100,PM,Wordpress Setup Checklist
1,3,a,Story,01/01/22,03/01/22,40,Dev, Purchase a domain name
2,3,a,Story,01/01/22,03/01/22,100,Dev, Purchase a hosting plan from a reputable hosting company that specializes in WordPress hosting
3,3,a,Milestone,01/01/22,03/01/22,0,, Install the latest version of the WordPress core software on your server
b,3,a,Epic,01/01/22,03/01/22,40,Mgr,Basic WordPress Development Checklist
4,3,b,Story,01/01/22,03/01/22,,Dev, Set up your domain in cPanel or your host’s web hosting panel
5,3,b,Story,01/01/22,03/01/22,0,Dev, Set up new database and user in cPanel or your host’s web hosting panel
6,3,b,Story,01/01/22,03/01/22,0,Dev, Record new domain and database information into tracking software
7,3,b,Story,01/01/22,03/01/22,0,Dev, Change DNS on domain to the correct name servers
8,3,b,Story,01/01/22,03/01/22,0,Dev, Set up a WordPress staging environment
9,3,b,Story,01/01/22,03/01/22,0,Dev, Clone WordPress if tweaking an existing site
10,3,b,Story,01/01/22,03/01/22,0,Dev, Delete existing website files
11,3,b,Story,01/01/22,03/01/22,0,Dev," Remove the WordPress default content like the Hello, World! post"
12,3,b,Story,01/01/22,03/01/22,0,Dev, Delete the wp-config-sample
13,3,b,Story,01/01/22,03/01/22,0,Dev, Install a WordPress theme
14,8,b,Story,01/01/22,03/01/22,0,Dev, Install necessary WordPress plugins
15,3,b,Story,01/01/22,03/01/22,0,Dev, Create a sitemap
16,3,b,Story,01/01/22,03/01/22,0,Dev, Create a 404 page
17,3,b,Story,01/01/22,03/01/22,0,Dev, Add any additional Administrator users
18,3,b,Story,01/01/22,03/01/22,0,Dev, Add a favicon
19,8,b,Story,01/01/22,03/01/22,0,Dev, Add alt tags to all website images
20,3,b,Story,01/01/22,03/01/22,0,Dev, Combat spam
21,3,b,Story,01/01/22,03/01/22,0,Dev, Set up a contact form
22,3,b,Story,01/01/22,03/01/22,0,Dev, Update your user profile
23,3,b,Story,01/01/22,03/01/22,0,Dev, Make sure the timezone is correct
24,5,b,Story,01/01/22,03/01/22,0,Dev, Start tracking metrics with Google Analytics
25,3,b,Story,01/01/22,03/01/22,0,Dev, Old website URLs are 301 redirected to new URLs
26,3,b,Story,01/01/22,03/01/22,0,Dev, Add blog categories and remove the “Uncategorized” category
27,16,b,Story,01/01/22,03/01/22,0,Dev, Test the website on multiple devices and browsers
28,3,b,Story,01/01/22,03/01/22,0,Dev, Test Everything!
c,3,b,Story,01/01/22,03/01/22,0,Dev,WordPress Security Checklist
29,3,c,Story,01/01/22,03/01/22,0,Dev, Update WordPress core to the latest version
30,3,c,Story,01/01/22,03/01/22,0,Dev, Install a WordPress security plugin like iThemes Security to help perform important WordPress security tasks
31,3,c,Story,01/01/22,03/01/22,0,Dev, Activate and set up WordPress two-factor authentication
32,3,c,Story,01/01/22,03/01/22,0,Dev, Enable WordPress brute force protection to protect your site against attackers that try to randomly guess login details to your site
33,3,c,Story,01/01/22,03/01/22,0,Dev, Turn on Passwordless Logins for privileged users
34,3,c,Story,01/01/22,03/01/22,0,Dev, Enable Trusted Devices to identify the devices that you and other users use to log in to your WordPress site
35,3,c,Story,01/01/22,03/01/22,0,Dev, Turn on File Change Detection to watch for changes to your files
36,3,c,Story,01/01/22,03/01/22,0,Dev, Enable Network Brute Force Protection to join the iThemes Security brute force protection network
37,3,c,Story,01/01/22,03/01/22,0,Dev," Turn on iThemes Security’s Site Scan feature to check for vulnerable plugins, themes, and WordPress core versions twice a day"
38,3,c,Story,01/01/22,03/01/22,0,Dev, Turn on Version Management to automatically update vulnerable plugins or themes if a vulnerability is discovered by Site Scan
39,3,c,Story,01/01/22,03/01/22,0,Dev," Enable User Logging to log user actions such as login, editing or saving content, and other actions"
40,3,c,Story,01/01/22,03/01/22,0,Dev, Disable the File Editor in WordPress Tweaks
41,3,c,Story,01/01/22,03/01/22,0,Dev, Enable Magic Links to make sure legitimate users don’t get locked out
42,3,c,Story,01/01/22,03/01/22,0,Dev, Whitelist your own IP Address
