riskid,riskselect,risktype,riskclassification,riskprobability,riskimpact,riskscore,risktimeline,risktrigger,riskresponse,riskowner,riskdescription,riskcontingency
1,Y,Strategic,Stakeholders,1-High,1-High,3-Lowest,1-Plan,engagement,Accept,Sponsor,"Executives fail to support project. The project team may lack the authority to achieve project objectives. In such cases, executive management support is fundamental to project success. When this does not materialize the project fails.",
2,Y,Project,Stakeholders,3-Low,3-Low,1-Highest,2-Design,engagement,Mitigate,Sponsor,Executives become disengaged with project. Executive management disregards project communications and meetings.,
3,Y,Operations,Stakeholders,3-Low,1-High,1-Highest,3-Build,sentiment,Transfer,Sponsor,Conflict between executive stakeholders disrupts project.  Members of executive management are combative to the project or there is a disagreement over project issues at the executive level.,
4,Y,Business,Stakeholders,1-High,3-Low,1-Highest,5-Accept,retention,Avoid,Sponsor,"Executive turnover disrupts project.  A key executive leaves the company, the resulting disruption becomes a project issue.",
5,Y,Environmental,Scope,2-Moderate,2-Moderate,2-Moderate,2-Design,scopechange,Avoid,ProjectManager,Scope is ill defined.  The general risk of an error or omission in scope definition.,
6,Y,Project,Scope,1-High,2-Moderate,2-Moderate,2-Design,scopechange,Avoid,ProductOwner,Scope creep inflates scope.  Uncontrolled changes and continuous growth of scope.,
7,Y,Project,Scope,3-Low,3-Low,1-Highest,2-Design,cpi,Avoid,ProductOwner,Gold plating inflates scope.  The project team add their own product features that are not in requirements or change requests.,
8,Y,Project,Scope,1-High,2-Moderate,2-Moderate,2-Design,cpi,Avoid,AgileTeam,Estimates are inaccurate.  Inaccurate estimates is a common project risk.,
9,Y,Project,Scope,1-High,2-Moderate,2-Moderate,2-Design,cpi,Avoid,AgileTeam,Dependencies are inaccurate. Dependencies dramatically impact the project schedule and costs.,
11,Y,Project,Cost,2-Moderate,1-High,2-Moderate,2-Design,earnedvalue,Mitigate,ProjectManager,Cost forecasts are inaccurate. Inaccurate cost estimates and forecasts.,
10,Y,Project,Scope,1-High,3-Low,1-Highest,2-Design,scopechange,Avoid,AgileTeam,Activities are missing from scope. Required activities are missing from scope definition.,
12,Y,Market,Cost,2-Moderate,1-High,2-Moderate,2-Design,external,Accept,Sponsor,Exchange rate variability. When costs are incurred in foreign currencies exchange rates can have a dramatic impact.,
13,Y,Project,Change,2-Moderate,1-High,2-Moderate,2-Design,scopechange,Avoid,ProductOwner,Change management overload. A large number of change requests dramatically raises the complexity of the project and distracts key resources.,
14,Y,Project,Change,2-Moderate,1-High,2-Moderate,2-Design,sentiment,Avoid,ProductOwner,Stakeholder conflict over proposed changes. Change requests may be the source of stakeholder conflict.,
15,Y,Project,Change,2-Moderate,1-High,2-Moderate,3-Build,sentiment,Avoid,Sponsor,Perceptions that a project failed because of changes.  Large numbers of high priority change requests may lead to the perception that the project has failed. When the schedule and budget are continually extended — stakeholders may feel the project missed its original targets.,
16,Y,Project,Change,2-Moderate,1-High,2-Moderate,2-Design,earnedvalue,Avoid,ProjectManager,Lack of a change management system. Failure to record and communicate changes are a risk.,
17,Y,Project,Change,2-Moderate,1-High,2-Moderate,2-Design,engagement,Avoid,ProjectManager,"Lack of a change management process. Change management at the organizational or departmental level is critical to project success. Otherwise, the project will have limited visibility into changes that impact the project.",Establish a change control process early in the project.
18,Y,Project,Change,2-Moderate,1-High,2-Moderate,1-Plan,engagement,Avoid,ProjectManager,Lack of a change control board. A change control board is essential to managing change for large projects.,Establish a change control process early in the project.
19,Y,Project,Change,2-Moderate,1-High,2-Moderate,1-Plan,engagement,Avoid,ProjectManager,Inaccurate change priorities.  When non-essential changes are prioritized impacting critical schedules.,Establish a change control process early in the project.
20,Y,Project,Change,2-Moderate,1-High,2-Moderate,1-Plan,inspectionfailure,Avoid,AgileTeam,Low quality of change requests.  Change requests that are low quality (e.g. ambiguous).,TDD Quality Assurance (inspection) of requirements and acceptance criteria in user stories .
21,Y,Project,Change,1-High,1-High,3-Lowest,5-Accept,sentiment,Avoid,ProductOwner,Change request conflicts with requirements.  Change requests that make no sense in the context of the requirements.,
22,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,1-Plan,engagement,Avoid,Sponsor,Stakeholders become disengaged. When stakeholders ignore project communications.,"Determine stakeholder influence and interest early in project, and monitor engagement and sentiment throughout"
23,Y,Project,Stakeholders,2-Moderate,3-Low,2-Moderate,5-Accept,sentiment,Avoid,Sponsor,"Stakeholders have inaccurate expectations. Stakeholders develop inaccurate expectations (believe that the project will achieve something not in the requirements, plan, etc).",Determine stakeholder influence and interest early in project
24,Y,Project,Stakeholders,2-Moderate,2-Moderate,2-Moderate,2-Design,retention,Accept,Sponsor,Stakeholder turnover. Stakeholder turnover can lead to project disruptions.,Communicate plan to the new stakeholders.  Stakeholder chagnes are processed in project change process
25,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,1-Plan,sentiment,Avoid,Sponsor,Stakeholders fail to support project.  When stakeholders have a negative attitude towards the project and wish to see it fail.,Determine stakeholder influence and interest early in project
26,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,5-Accept,sentiment,Avoid,Sponsor,Stakeholder conflict.  Disagreement between stakeholders over project issues.,Determine stakeholder influence and interest early in project
27,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,5-Accept,earnedvalue,Avoid,ProductOwner,"Process inputs are low quality. Inputs from stakeholders that are low quality (e.g. business case, requirements, change requests).",Determine stakeholder influence and interest early in project
28,Y,Project,Communication,2-Moderate,2-Moderate,2-Moderate,5-Accept,inspectionfailure,Avoid,AgileTeam,"Project team misunderstand requirements.  When requirements are misinterpreted by the project team a gap develops between expectations, requirements and work packages.",TDD Quality Assurance (inspection) of requirements and acceptance criteria in user stories .
29,Y,Project,Communication,2-Moderate,1-High,2-Moderate,1-Plan,inspectionfailure,Avoid,ProjectManager,Communication overhead.  When key project resources spend a high percentage of their time engaging stakeholders on project issues and change requests their work may fall behind.,TDD Quality Assurance (inspection) of requirements and acceptance criteria in user stories .
30,Y,Project,Communication,2-Moderate,1-High,2-Moderate,5-Accept,engagement,Avoid,ProjectManager,Under communication. Communication is a challenge thats not to be underestimated. You may need to communicate the same idea many times in different ways before people remember it.,Update or improve the Communication Plan.  Determine stakeholder influence and interest early in project
31,Y,Project,Communication,2-Moderate,1-High,2-Moderate,5-Accept,engagement,Avoid,ProductOwner,Users have inaccurate expectations.  The risk that users believe the project is building an apple when you are really building an orange (i.e. users do not understand the product thats coming their way).,Update or improve the Communication Plan.  Determine stakeholder influence and interest early in project
32,Y,Project,Communication,2-Moderate,1-High,2-Moderate,1-Plan,engagement,Avoid,ProjectManager,"Impacted individuals are not kept informed. A stakeholder is missing in your communication plan. 9one who is not informed but is impacted has an excellent reason to throw up project roadblocks. For example, if you build a system but fail to consult the operations group that will be responsible for support.",Update or improve the Communication Plan
33,Y,Project,Team,2-Moderate,1-High,2-Moderate,2-Design,retention,Avoid,ProjectManager,Resource shortfalls. Inability to secure sufficient resources for the project.,"Review resource plan and budget for resources, extend your search globally "
33,Y,Project,Team,2-Moderate,1-High,2-Moderate,3-Build,retention,Avoid,ProjectManager,Resource shortfalls. Inability to secure sufficient resources for the project.,"Review resource plan and budget for resources, extend your search globally "
34,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,cpi,Avoid,ProjectManager,Learning curves lead to delays and cost overrun.  When your project team need to acquire new skills for the project theres a risk that productivity will be low.,"Review resource plan and budget for resources, extend your search globally with skilled resources"
35,Y,Project,Team,1-High,2-Moderate,2-Moderate,1-Plan,engagement,Avoid,ProjectManager,Training is not available.  Quality training for certain skills can be difficult to secure.,"Review resource plan and budget for resources, extend your search globally with skilled resources for training. "
36,Y,Project,Team,2-Moderate,1-High,2-Moderate,1-Plan,engagement,Avoid,ProjectManager,Training is inadequate.  Training is often a poor substitute for professional experience. Projects should not assume that resources will be fully productive in a new skill.,"Review resource plan and budget for resources, extend your search globally with skilled resources for training. "
37,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,spi,Avoid,ProjectManager,Resources are inexperienced.  Resources who are just out of school or who are new to your industry or profession tend to make more mistakes and be less productive.,"Review resource plan and budget for resources, extend your search globally with skilled resources for training. "
38,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,spi,Mitigate,ProjectManager,Resource performance issues. Resources who perform below expectations.,Review resource plan.  Coaching or replace resources.
39,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,sentiment,Mitigate,ProjectManager,Team members with negative attitudes towards the project.  Resources who are negative towards the project may actively or passively sabotage project efforts.,Review resource plan.  Coaching or replace resources.
40,Y,Project,Team,2-Moderate,1-High,2-Moderate,1-Plan,retention,Mitigate,ProjectManager,Resource turnover.  Resource turnover leads to delays and cost overrun.,Resource planning.   Plan for changes in key resources at start of project.  Ensure onboarding activites and documentation is up to date to ensure efficient transition. 
